case_key,case_label,date,step_minutes,daylight_duration_h,front_duration_h,expected_front_duration_h,front_duration_error_h,first_daylight_time,last_daylight_time,first_front_time,last_front_time,max_altitude_time,max_altitude_deg,max_axis_dot_time,max_axis_dot,solar_declination_deg_at_noon_like
spring_equinox,Spring equinox,2026-03-20,1,12.05,11.95,12.03,-0.08000000000000007,07:10:00,19:12:00,07:13:00,19:09:00,13:11:00,48.84281244784488,13:11:00,0.8975880158541936,-0.8071867925533891
summer_solstice,Summer solstice,2026-06-22,1,15.066666666666666,13.583333333333334,13.58,0.0033333333333338544,05:33:00,20:36:00,06:18:00,19:52:00,13:05:00,73.09782567500625,13:05:00,0.9994477608414104,23.448045645453604
winter_solstice,Winter solstice,2026-12-22,1,9.283333333333333,9.283333333333333,9.29,-0.0066666666666659324,08:24:00,17:40:00,08:24:00,17:40:00,13:02:00,26.205384629634317,13:02:00,0.6587599295322998,-23.44457137142844
