case_key,case_label,time_code,selected_local_time,solar_altitude_deg,solar_azimuth_deg,aperture_points,potential_sunlit_points,structure_shadow_points_v2,visible_sunlit_points_v2,shadow_fraction_of_potential_sunlit_v2,visible_fraction_of_potential_sunlit_v2,visible_fraction_of_aperture_v2,effective_solar_factor_mean_visible_v2,effective_solar_factor_max_visible_v2
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,11.210312511301886,100.79068626865546,70673,43652,997,42655,0.022839732429212865,0.9771602675707871,0.6035543984265561,0.4698739503286375,0.999196859000803
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,48.84281244784488,179.98682696476465,70673,67054,5607,61447,0.08361917260715244,0.9163808273928475,0.8694550960055467,0.6228055149505153,0.9966290008132488
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,11.223294051193504,259.1975954267823,70673,43668,1002,42666,0.022945864248419896,0.9770541357515801,0.6037100448544706,0.46988823235546545,0.9992078014817997
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,17.368658218069434,73.65931787643683,70673,43068,1319,41749,0.03062598681155382,0.9693740131884462,0.590734792636509,0.46496159566933326,0.9991645732633071
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,73.09782567500625,180.32306161345397,70673,70655,3573,67082,0.05056966952091147,0.9494303304790885,0.9491885161235549,0.6592550779928266,0.9960222699865658
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,17.218958321839942,286.45953793541486,70673,42969,1286,41683,0.029928553142963533,0.9700714468570365,0.5898009140690221,0.4645203899716099,0.9991876431929865
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,8.489241699928087,130.89277127541646,70673,46301,1206,45095,0.026046953629511243,0.9739530463704887,0.6380796060730406,0.48570774961826124,0.9990124700434395
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,26.20538462963432,179.91775077833336,70673,58611,5200,53411,0.0887205473375305,0.9112794526624695,0.7557483055763871,0.5554750813785911,0.9976050326648642
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,8.58183856056006,228.9910117001152,70673,46369,1226,45143,0.026440078500722466,0.9735599214992775,0.6387587904857583,0.48603565402662435,0.9985031753487116
