case_key,case_label,selected_time,aperture_points,sunlit_points,sunlit_fraction,cos_incidence_min_sunlit,cos_incidence_mean_sunlit,cos_incidence_max_sunlit,incidence_angle_min_deg_sunlit,incidence_angle_mean_deg_sunlit,incidence_angle_max_deg_sunlit
spring_equinox,Spring equinox,2026-03-20 13:11:00,70673,67054,0.9487923252161363,6.083244588717118e-05,0.6377360775669993,0.9999995557681326,0.05400606082948625,47.02028972276461,89.99651455759107
summer_solstice,Summer solstice,2026-06-22 13:05:00,70673,70655,0.9997453058452308,0.0016393171221672,0.6665792215071973,0.9999986458459391,0.0942913204198931,45.00579990337704,89.90607400554742
winter_solstice,Winter solstice,2026-12-22 13:02:00,70673,58611,0.8293266169541409,6.672260044657263e-05,0.5785992165638999,0.9999980607811608,0.11283689092531182,51.36186253989157,89.99617707659344
