time_armenia,project_timezone,sun_altitude_deg,sun_azimuth_deg,sun_enu_x_east,sun_enu_y_north,sun_enu_z_up,sun_above_horizon
2026-06-21T00:00:00+04:00,Asia/Yerevan,-24.459474201012213,343.69203681578017,-0.255599518387037,0.8736314353866472,-0.4140495155226985,False
2026-06-21T00:10:00+04:00,Asia/Yerevan,-24.954939453925444,346.1568873278832,-0.21692639939390132,0.8803060852164546,-0.4219053609245538,False
2026-06-21T00:20:00+04:00,Asia/Yerevan,-25.37039861285105,348.64877690469444,-0.17784052691537294,0.8858823839321041,-0.42846837552523614,False
2026-06-21T00:30:00+04:00,Asia/Yerevan,-25.704259555859462,351.1633736087382,-0.13841627437534773,0.8903497229200869,-0.43372607240535244,False
2026-06-21T00:40:00+04:00,Asia/Yerevan,-25.955213329580186,353.6959904283976,-0.09872865885530831,0.8936996035297549,-0.4376684482246708,False
2026-06-21T00:50:00+04:00,Asia/Yerevan,-26.122258254218558,356.24165007864093,-0.05885319838655839,0.895925653232883,-0.4402880022427416,False
2026-06-21T01:00:00+04:00,Asia/Yerevan,-26.20471894979673,358.79516043578667,-0.018865768291244017,0.8970236377399599,-0.4415797505802892,False
2026-06-21T01:10:00+04:00,Asia/Yerevan,-26.20225945026545,1.3511981239529531,0.021157543155368174,0.8969914690503195,-0.44154123569444625,False
2026-06-21T01:20:00+04:00,Asia/Yerevan,-26.114889813185595,3.904397197709953,0.06114057946762789,0.8958292094208271,-0.44017253104983584,False
2026-06-21T01:30:00+04:00,Asia/Yerevan,-25.94296592100852,6.449439496254701,0.10100726082085215,0.8935390712455891,-0.4374762409766255,False
2026-06-21T01:40:00+04:00,Asia/Yerevan,-25.687182483145474,8.981143121800967,0.14068172877746293,0.8901254128469306,-0.4334574957158611,False
2026-06-21T01:50:00+04:00,Asia/Yerevan,-25.348559560414984,11.494545632478061,0.18008849059196458,0.8855947301856292,-0.4281239416614663,False
2026-06-21T02:00:00+04:00,Asia/Yerevan,-24.928423219621447,13.984978922381316,0.2191525628205385,0.8799556445061937,-0.42148572681750357,False
2026-06-21T02:10:00+04:00,Asia/Yerevan,-24.428381163754157,16.448133344640013,0.2577996139631305,0.8732188859405522,-0.41355548149819255,False
2026-06-21T02:20:00+04:00,Asia/Yerevan,-23.85029435642499,18.880109353222124,0.29595610586603466,0.8653972731013637,-0.40434829430744,False
2026-06-21T02:30:00+04:00,Asia/Yerevan,-23.19624575895184,21.277455721575066,0.333549433616755,0.8565056887036571,-0.39388168344341185,False
