case_key,snapshot_code,wind_code,equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C,ku_central_min_mm_per_C,u_rms_central_min_mm,u_peak_to_peak_central_min_mm,u_max_abs_from_mean_central_min_mm,ku_central_max_mm_per_C,u_rms_central_max_mm,u_peak_to_peak_central_max_mm,u_max_abs_from_mean_central_max_mm,ku_upper_mm_per_C,u_rms_upper_mm,u_peak_to_peak_upper_mm,u_max_abs_from_mean_upper_mm,u_rms_central_mid_mm,u_peak_to_peak_central_mid_mm,u_max_abs_from_mean_central_mid_mm
summer_solstice,evening,v10,P_0000_0029,0,29,-26.6085,-3.901499999999999,26.89300977019865,12,0.783,0.0,0.0,0.0,30.70918270157413,30.709179481802607,30.709186103904926,30.709182179704328,2.721726257552757e-06,6.62210231894278e-06,3.924200598248717e-06,8.457346512059743e-06,30.7091798893195,30.709186103904926,30.709180644267803,30.709184779226803,30.709179481802607,0.08,2.1773810060422058e-07,5.297681855154224e-07,3.139360478598974e-07,0.096,2.6128572072506467e-07,6.357218226185068e-07,3.7672325743187686e-07,0.16,4.3547620120844117e-07,1.0595363710308448e-06,6.278720957197948e-07,2.395119106646426e-07,5.827450040669647e-07,3.453296526458871e-07
summer_solstice,evening,v10,P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.0,0.0,0.0,30.7091835355098,30.709178809477407,30.709187891015063,30.709183267403432,3.3612509085460323e-06,8.608258497133647e-06,4.6236116304498864e-06,1.0993944440783711e-05,30.70918162305361,30.709187891015063,30.709179282756565,30.709186600781152,30.70918093941077,0.08,2.6890007268368257e-07,6.886606797706918e-07,3.698889304359909e-07,0.096,3.226800872204191e-07,8.263928157248302e-07,4.4386671652318913e-07,0.16,5.378001453673651e-07,1.3773213595413837e-06,7.397778608719818e-07,2.9579007995205084e-07,7.57526747747761e-07,4.0687782347959005e-07
summer_solstice,evening,v10,P_0000_0031,0,31,-26.6085,-2.3355,26.710799922503256,20,0.783,0.0,0.0,0.0,30.709184286744403,30.709179587516985,30.70918947383325,30.70918411134017,4.02708533897419e-06,9.886316263418848e-06,5.362493073590713e-06,1.262620212441743e-05,30.70918266826516,30.70918947383325,30.70918056642336,30.70918826066213,30.709179587516985,0.08,3.221668271179352e-07,7.909053010735079e-07,4.2899944588725705e-07,0.096,3.866001925415223e-07,9.490863612882094e-07,5.147993350647084e-07,0.16,6.443336542358704e-07,1.5818106021470159e-06,8.579988917745141e-07,3.5438350982972875e-07,8.699958311808586e-07,4.7189939047598275e-07
summer_solstice,evening,v10,P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.0,0.0,0.0,30.709185346717387,30.709180739076885,30.70919051837251,30.70918513979374,4.183540422286021e-06,9.779295623957296e-06,5.378578769921205e-06,1.248952186967726e-05,30.709183557111544,30.70919051837251,30.709181168631176,30.70918971577657,30.709180739076885,0.08,3.346832337828817e-07,7.823436499165837e-07,4.302863015936964e-07,0.096,4.0161988053945803e-07,9.388123798999004e-07,5.163435619124357e-07,0.16,6.693664675657634e-07,1.5646872998331675e-06,8.605726031873928e-07,3.681515571611699e-07,8.60578014908242e-07,4.7331493175306606e-07
summer_solstice,evening,v10,P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.0,0.0,0.0,30.70918601510376,30.70918130848645,30.709191226171413,30.709185831498747,4.335559081027018e-06,9.917684963056672e-06,5.394672665914868e-06,1.266626432063432e-05,30.70918428332408,30.709191226171413,30.7091815981288,30.709190741383,30.70918130848645,0.08,3.468447264821615e-07,7.934147970445338e-07,4.3157381327318947e-07,0.096,4.1621367177859377e-07,9.520977564534405e-07,5.178885759278273e-07,0.16,6.93689452964323e-07,1.5868295940890676e-06,8.631476265463789e-07,3.8152919913037765e-07,8.727562767489871e-07,4.747311946005084e-07
summer_solstice,evening,v10,P_0000_0034,0,34,-26.6085,0.0135000000000005,26.60850342465731,21,0.783,0.0,0.0,0.0,30.709185949050987,30.709178554144103,30.70919145345698,30.709186121746164,4.416867969071056e-06,9.781473522707527e-06,5.314540807432877e-06,1.2492303349562615e-05,30.70918449572639,30.70919143628697,30.709181694372376,30.70919132753164,30.70918165481345,0.08,3.5334943752568447e-07,7.825178818166022e-07,4.2516326459463016e-07,0.096,4.240193250308214e-07,9.390214581799227e-07,5.101959175135562e-07,0.16,7.066988750513689e-07,1.5650357636332044e-06,8.503265291892603e-07,3.8868438127825294e-07,8.607696699982625e-07,4.676795910540932e-07
summer_solstice,evening,v10,P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,0.0,0.0,0.0,30.70918617557454,30.70918142710065,30.709191389390696,30.70918598784226,4.406078338664106e-06,9.962290047127452e-06,5.40154843520213e-06,1.2723231222384996e-05,30.709184397219417,30.709191068031828,30.70918142710065,30.709191389390696,30.70918165746872,0.08,3.524862670931285e-07,7.969832037701962e-07,4.3212387481617046e-07,0.096,4.229835205117542e-07,9.563798445242355e-07,5.185486497794045e-07,0.16,7.04972534186257e-07,1.5939664075403923e-06,8.642477496323409e-07,3.8773489380244133e-07,8.766815241472158e-07,4.753362622977875e-07
summer_solstice,evening,v10,P_0000_0036,0,36,-26.6085,1.5794999999999997,26.65533891174524,16,0.783,0.0,0.0,0.0,30.70918563783855,30.709180872901413,30.70919089950263,30.70918541896217,4.314276484816066e-06,1.0026601216850397e-05,5.480540458790983e-06,1.280536553876168e-05,30.7091838134765,30.70919020189177,30.709180872901413,30.70919089950263,30.70918130703853,0.08,3.4514211878528524e-07,8.021280973480317e-07,4.384432367032787e-07,0.096,4.141705425423423e-07,9.62553716817638e-07,5.261318840439344e-07,0.16,6.902842375705705e-07,1.6042561946960635e-06,8.768864734065574e-07,3.7965633066381377e-07,8.823409070828349e-07,4.822875603736065e-07
summer_solstice,evening,v10,P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,0.0,0.0,0.0,30.70918463740558,30.70917972019185,30.70918991296492,30.709184426315904,4.193910867068017e-06,1.0192773068240513e-05,5.486649016006595e-06,1.301759012546681e-05,30.70918292501392,30.709188859777782,30.70917972019185,30.70918991296492,30.70918071363104,0.08,3.3551286936544135e-07,8.15421845459241e-07,4.3893192128052763e-07,0.096,4.0261544323852964e-07,9.785062145510893e-07,5.267183055366332e-07,0.16,6.710257387308827e-07,1.630843690918482e-06,8.778638425610553e-07,3.690641563019855e-07,8.969640300051652e-07,4.828251134085804e-07
summer_solstice,evening,v10,P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,0.0,0.0,0.0,30.70918399251236,30.709178929971586,30.709188530171105,30.709183710210176,3.575135205364144e-06,9.105837705192243e-06,4.819960928159617e-06,1.162942235656736e-05,30.70918195913299,30.70918736011987,30.70918127729351,30.709188530171105,30.7091794243334,0.08,2.8601081642913156e-07,7.284670164153795e-07,3.8559687425276935e-07,0.096,3.432129797149578e-07,8.741604196984553e-07,4.627162491033232e-07,0.16,5.720216328582631e-07,1.456934032830759e-06,7.711937485055387e-07,3.146118980720447e-07,8.013137180569175e-07,4.2415656167804625e-07
summer_solstice,evening,v10,P_0000_0039,0,39,-26.6085,3.9285,26.89694005830403,12,0.783,0.0,0.0,0.0,30.70918320094828,30.7091796853548,30.70918690329961,30.70918262366886,2.957274067997713e-06,7.2179448089571e-06,4.279630751113928e-06,9.218320317952872e-06,30.70918018401688,30.70918543373773,30.7091796853548,30.70918690329961,30.70918091193528,0.08,2.3658192543981705e-07,5.774355847165679e-07,3.4237046008911426e-07,0.096,2.8389831052778046e-07,6.929227016598816e-07,4.1084455210693716e-07,0.16,4.731638508796341e-07,1.1548711694331359e-06,6.847409201782285e-07,2.6024011798379876e-07,6.351791431882248e-07,3.766075060980257e-07
summer_solstice,evening,v10,P_0001_0024,1,24,-25.8255,-7.816499999999998,26.982478064477323,8,0.783,0.0,0.0,0.0,30.70918134243302,30.70917888554351,30.70918382838124,30.709181172709958,1.5988321989655108e-06,4.9428377302263016e-06,2.6556712846570463e-06,6.312691864912262e-06,30.709180512811542,30.70918382838124,30.70918121920829,30.70918141760518,30.70917888554351,0.08,1.2790657591724086e-07,3.954270184181041e-07,2.124537027725637e-07,0.096,1.5348789110068904e-07,4.74512422101725e-07,2.5494444332707643e-07,0.16,2.558131518344817e-07,7.908540368362082e-07,4.249074055451274e-07,1.4069723350896495e-07,4.349697202599145e-07,2.3369907304982005e-07
summer_solstice,evening,v10,P_0001_0025,1,25,-25.8255,-7.0335,26.766146015069108,17,0.783,0.0,0.0,0.0,30.709183060818003,30.70917900361559,30.709188183383844,30.70918309038409,3.2470951864979875e-06,8.681688367317975e-06,5.092999753486538e-06,1.1087724607047222e-05,30.70918342178362,30.709188183383844,30.70917971223804,30.709184632819472,30.70917950169548,0.08,2.59767614919839e-07,6.945350693854379e-07,4.0743998027892306e-07,0.096,3.117211379038068e-07,8.334420832625256e-07,4.889279763347077e-07,0.16,5.19535229839678e-07,1.3890701387708759e-06,8.148799605578461e-07,2.857443764118229e-07,7.639885763239817e-07,4.4818397830681536e-07
summer_solstice,evening,v10,P_0001_0026,1,26,-25.8255,-6.250499999999999,26.571134723605613,16,0.783,0.0,0.0,0.0,30.709185634120715,30.709180388251923,30.709192028032533,30.709186020547737,4.285669315998866e-06,1.1639780609584705e-05,6.007484795844675e-06,1.486562019104049e-05,30.709186521963943,30.709192028032533,30.70918216270269,30.7091890017876,30.709180388251923,0.08,3.428535452799093e-07,9.311824487667764e-07,4.80598783667574e-07,0.096,4.1142425433589117e-07,1.1174189385201316e-06,5.767185404010889e-07,0.16,6.857070905598186e-07,1.8623648975335528e-06,9.61197567335148e-07,3.7713889980790027e-07,1.024300693643454e-06,5.286586620343314e-07
