source_panel_thermal_name,case_key,snapshot_code,wind_code,equivalent_panel_count,ku_central_min_mm_per_C,ku_central_max_mm_per_C,ku_upper_mm_per_C,u_rms_central_min_mm_mean,u_rms_central_min_mm_p95,u_rms_central_min_mm_max,u_rms_central_max_mm_mean,u_rms_central_max_mm_p95,u_rms_central_max_mm_max,u_rms_central_mid_mm_mean,u_rms_central_mid_mm_p95,u_rms_central_mid_mm_max,u_rms_upper_mm_mean,u_rms_upper_mm_p95,u_rms_upper_mm_max,u_peak_to_peak_central_max_mm_mean,u_peak_to_peak_central_max_mm_p95,u_peak_to_peak_central_max_mm_max,u_peak_to_peak_upper_mm_mean,u_peak_to_peak_upper_mm_p95,u_peak_to_peak_upper_mm_max,u_max_abs_from_mean_central_max_mm_mean,u_max_abs_from_mean_central_max_mm_p95,u_max_abs_from_mean_central_max_mm_max,u_max_abs_from_mean_upper_mm_mean,u_max_abs_from_mean_upper_mm_p95,u_max_abs_from_mean_upper_mm_max,panels_u_rms_upper_ge_0p01_mm_count,panels_u_rms_upper_ge_0p01_mm_fraction,panels_u_rms_upper_ge_0p025_mm_count,panels_u_rms_upper_ge_0p025_mm_fraction,panels_u_rms_upper_ge_0p05_mm_count,panels_u_rms_upper_ge_0p05_mm_fraction,panels_u_rms_upper_ge_0p1_mm_count,panels_u_rms_upper_ge_0p1_mm_fraction,panels_u_rms_upper_ge_0p2_mm_count,panels_u_rms_upper_ge_0p2_mm_fraction,max_u_rms_upper_panel_id,max_u_rms_upper_panel_x_m,max_u_rms_upper_panel_y_m,max_u_rms_upper_panel_delta_rms_C,max_u_rms_upper_panel_u_rms_mm
panel_thermal_spring_equinox_axis_v00.csv,spring_equinox,axis,v00,3737,0.08,0.096,0.16,0.04093948335216745,0.11883971956848198,0.35952836629778,0.04912738002260094,0.14260766348217838,0.431434039557336,0.04503343168738419,0.13072369152533017,0.395481202927558,0.0818789667043349,0.23767943913696396,0.71905673259556,0.1335541557484654,0.37230990361391175,1.1204202553864178,0.22259025958077566,0.6205165060231862,1.8673670923106962,0.07341383653322751,0.21805508210223437,0.6611574813892744,0.12235639422204589,0.3634251368370573,1.1019291356487906,3618,0.9681562750869681,3434,0.918918918918919,2346,0.6277762911426278,794,0.21246989563821247,294,0.07867273213807867,P_0033_0054,-0.7695000000000007,15.673500000000004,4.49410457872225,0.71905673259556
panel_thermal_spring_equinox_axis_v02.csv,spring_equinox,axis,v02,3737,0.08,0.096,0.16,0.026570200334619515,0.08856081658039548,0.34521807104522145,0.03188424040154342,0.10627297989647459,0.41426168525426577,0.029227220368081466,0.09741689823843504,0.37973987814974364,0.05314040066923903,0.17712163316079096,0.6904361420904429,0.08585126809483999,0.26953215550106596,0.9418426882100103,0.14308544682473334,0.44922025916844327,1.5697378136833504,0.04757546977944763,0.15728265056782217,0.583939604794262,0.0792924496324127,0.2621377509463703,0.9732326746571033,3511,0.9395236820979396,2603,0.6965480331816966,1075,0.28766390152528765,424,0.11345999464811346,148,0.039603960396039604,P_0033_0054,-0.7695000000000007,15.673500000000004,4.315225888065268,0.6904361420904429
panel_thermal_spring_equinox_axis_v05.csv,spring_equinox,axis,v05,3737,0.08,0.096,0.16,0.022047739093222742,0.07500066161640806,0.3284061158815502,0.026457286911867297,0.09000079393968967,0.39408733905786025,0.02425251300254502,0.08250072777804886,0.3612467274697052,0.044095478186445485,0.15000132323281612,0.6568122317631004,0.0708743144675332,0.22535758710091328,0.8639386517596489,0.11812385744588866,0.3755959785015221,1.4398977529327481,0.039491415768651124,0.13451738261885343,0.5588120926345572,0.0658190262810852,0.22419563769808903,0.931353487724262,3391,0.9074123628579074,2053,0.5493711533315494,772,0.2065828204442066,329,0.08803853358308804,131,0.035054856837035055,P_0033_0054,-0.7695000000000007,15.673500000000004,4.105076448519378,0.6568122317631004
panel_thermal_spring_equinox_axis_v10.csv,spring_equinox,axis,v10,3737,0.08,0.096,0.16,0.01849546246115063,0.06014018900119306,0.3071328054996869,0.022194554953380758,0.07216822680143167,0.3685593665996243,0.02034500870726569,0.06615420790131236,0.3378460860496556,0.03699092492230126,0.12028037800238613,0.6142656109993738,0.05913276705210951,0.18150420243155363,0.7976439901291178,0.09855461175351583,0.30250700405258935,1.3294066502151964,0.03317795959284196,0.10873776020098186,0.5256340615775165,0.05529659932140327,0.18122960033496976,0.8760567692958608,3223,0.8624565159218625,1582,0.42333422531442333,577,0.1544019266791544,238,0.06368744982606368,112,0.02997056462402997,P_0033_0054,-0.7695000000000007,15.673500000000004,3.8391600687460863,0.6142656109993738
panel_thermal_spring_equinox_evening_v00.csv,spring_equinox,evening,v00,3737,0.08,0.096,0.16,0.024160859112358192,0.061594247221123784,0.36347753333704214,0.02899303093482983,0.07391309666534854,0.43617304000445056,0.02657694502359401,0.06775367194323617,0.39982528667074635,0.048321718224716384,0.12318849444224757,0.7269550666740843,0.08104948942643883,0.20284828166135152,1.2991288756378112,0.1350824823773981,0.3380804694355859,2.165214792729685,0.04400908006036482,0.11313061491016778,0.7679164943979808,0.0733484667672747,0.18855102485027964,1.2798608239966347,3355,0.8977789670858978,2677,0.7163500133797164,1055,0.2823120149852823,254,0.06796895905806796,86,0.023013112122023012,P_0062_0051,21.9375,13.3245,4.5434691667130265,0.7269550666740843
panel_thermal_spring_equinox_evening_v02.csv,spring_equinox,evening,v02,3737,0.08,0.096,0.16,0.013620007593170082,0.030058470477592383,0.31934270752066873,0.0163440091118041,0.03607016457311086,0.38321124902480247,0.014982008352487093,0.03306431752535162,0.35127697827273563,0.027240015186340165,0.060116940955184765,0.6386854150413375,0.04466828361864011,0.10078011542948402,1.0208260780803302,0.07444713936440019,0.16796685904914005,1.7013767968005504,0.024308926310342177,0.05482327726653649,0.6601681011700857,0.04051487718390363,0.09137212877756082,1.1002801686168096,2623,0.7018999197217018,1439,0.38506823655338507,223,0.05967353492105967,118,0.03157613058603158,71,0.018999197217019,P_0068_0031,26.6355,-2.3355,3.991783844008359,0.6386854150413375
panel_thermal_spring_equinox_evening_v05.csv,spring_equinox,evening,v05,3737,0.08,0.096,0.16,0.011009801909215864,0.02156397664453626,0.2976008242593109,0.013211762291059038,0.025876771973443513,0.35712098911117307,0.01211078210013745,0.023720374308989888,0.327360906685242,0.022019603818431727,0.04312795328907252,0.5952016485186218,0.03566849655647826,0.0712547719056156,0.9582396434352595,0.05944749426079711,0.11875795317602601,1.5970660723920993,0.01949987158885173,0.03826496595962068,0.6317603991243361,0.032499785981419546,0.06377494326603446,1.0529339985405601,2453,0.6564088841316564,653,0.17473909553117473,161,0.04308268664704308,101,0.02702702702702703,67,0.01792881990901793,P_0068_0031,26.6355,-2.3355,3.720010303241386,0.5952016485186218
panel_thermal_spring_equinox_evening_v10.csv,spring_equinox,evening,v10,3737,0.08,0.096,0.16,0.0091172010941313,0.014985308629866533,0.27250528088822473,0.01094064131295756,0.017982370355839838,0.3270063370658696,0.01002892120354443,0.016483839492853185,0.2997558089770472,0.0182344021882626,0.029970617259733066,0.5450105617764495,0.029200366580352785,0.05019435041174364,0.8840201212395933,0.048667277633921306,0.08365725068623939,1.4733668687326553,0.016055722099852125,0.027335554403892355,0.5960045123688321,0.026759536833086878,0.045559257339820594,0.9933408539480536,2301,0.6157345464276157,240,0.06422263848006422,125,0.03344929087503345,93,0.024886272411024885,62,0.016590848274016592,P_0068_0031,26.6355,-2.3355,3.406316011102809,0.5450105617764495
panel_thermal_spring_equinox_morning_v00.csv,spring_equinox,morning,v00,3737,0.08,0.096,0.16,0.010731872087046377,0.016556359389650197,0.4157137642994112,0.012878246504455654,0.019867631267580236,0.4988565171592934,0.011805059295751014,0.018211995328615217,0.45728514072935234,0.021463744174092754,0.033112718779300394,0.8314275285988224,0.032597832119454294,0.049939893730826586,1.3577874167463524,0.0543297201990905,0.08323315621804432,2.2629790279105872,0.017716187370112525,0.025155185989543537,0.740157524852837,0.02952697895018754,0.041925309982572566,1.2335958747547284,2215,0.5927214343055928,1027,0.2748193738292748,55,0.014717687985014717,55,0.014717687985014717,54,0.014450093658014451,P_0002_0022,-25.0425,-9.3825,5.19642205374264,0.8314275285988224
panel_thermal_spring_equinox_morning_v02.csv,spring_equinox,morning,v02,3737,0.08,0.096,0.16,0.008816046954363213,0.013230478692945144,0.3448642884783731,0.010579256345235852,0.015876574431534174,0.4138371461740477,0.009697651649799532,0.01455352656223966,0.3793507173262104,0.017632093908726425,0.02646095738589029,0.6897285769567462,0.02687551138723281,0.04024811743363716,1.1296637702848749,0.04479251897872135,0.0670801957227286,1.8827729504747914,0.014653725490370898,0.020369645987460393,0.6131618129326936,0.024422875817284834,0.03394940997910066,1.0219363548878226,2204,0.5897778967085898,399,0.10677013647310676,55,0.014717687985014717,54,0.014450093658014451,53,0.014182499331014183,P_0002_0022,-25.0425,-9.3825,4.310803605979664,0.6897285769567462
