case_key,snapshot_code,wind_code,equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C,ku_central_min_mm_per_C,u_rms_central_min_mm,u_peak_to_peak_central_min_mm,u_max_abs_from_mean_central_min_mm,ku_central_max_mm_per_C,u_rms_central_max_mm,u_peak_to_peak_central_max_mm,u_max_abs_from_mean_central_max_mm,ku_upper_mm_per_C,u_rms_upper_mm,u_peak_to_peak_upper_mm,u_max_abs_from_mean_upper_mm,u_rms_central_mid_mm,u_peak_to_peak_central_mid_mm,u_max_abs_from_mean_central_mid_mm
winter_solstice,evening,v10,P_0000_0029,0,29,-26.6085,-3.901499999999999,26.89300977019865,12,0.783,0.0,0.0,0.0,-5.83627663943616,-5.836326194698529,-5.836211173093773,-5.836278179031422,3.597003265461122e-05,0.000103009297959,5.5917429858887147e-05,0.0001315572132299,-5.836307806856553,-5.836222261601563,-5.836271691858087,-5.836263863941383,-5.836325270899522,0.08,2.877602612368898e-06,8.24074383672e-06,4.473394388710972e-06,0.096,3.4531231348426774e-06,9.888892604064e-06,5.3680732664531666e-06,0.16,5.755205224737796e-06,1.648148767344e-05,8.946788777421944e-06,3.1653628736057875e-06,9.064818220392e-06,4.920733827582069e-06
winter_solstice,evening,v10,P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.0,0.0,0.0,-5.836206562784777,-5.83629677040085,-5.836098776304937,-5.83620794307584,6.043016454098357e-05,0.0001686875752966,0.000109166770903,0.000215437516343,-5.8362157179799965,-5.836098776304937,-5.836267463880233,-5.836198367364489,-5.836259389849545,0.08,4.834413163278686e-06,1.3495006023728002e-05,8.73334167224e-06,0.096,5.801295795934423e-06,1.6194007228473602e-05,1.0480010006688e-05,0.16,9.668826326557372e-06,2.6990012047456004e-05,1.746668334448e-05,5.3178544796065545e-06,1.4844506626100801e-05,9.606675839463999e-06
winter_solstice,evening,v10,P_0000_0031,0,31,-26.6085,-2.3355,26.710799922503256,20,0.783,0.0,0.0,0.0,-5.836100664501967,-5.83623955974673,-5.835906966612583,-5.8360957388222,0.0001095094039032,0.0003325931341464,0.0001887722096167,0.0004247677319878,-5.836124268905905,-5.835906966612583,-5.836140646484466,-5.8360672523613175,-5.83623955974673,0.08,8.760752312256e-06,2.6607450731712e-05,1.5101776769336e-05,0.096,1.05129027747072e-05,3.19289408780544e-05,1.81221321232032e-05,0.16,1.7521504624512e-05,5.3214901463424e-05,3.0203553538672e-05,9.6368275434816e-06,2.9268195804883197e-05,1.66119544462696e-05
winter_solstice,evening,v10,P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.0,0.0,0.0,-5.835946432718522,-5.836112950664699,-5.835795084012887,-5.835956412737152,0.0001141628613866,0.0003178666518115,0.0001613287242649,0.0004059599639994,-5.835976422987812,-5.835795084012887,-5.836032822319112,-5.835864783701254,-5.836112950664699,0.08,9.133028910928e-06,2.542933214492e-05,1.2906297941192e-05,0.096,1.09596346931136e-05,3.0515198573904e-05,1.54875575294304e-05,0.16,1.8266057821856e-05,5.085866428984e-05,2.5812595882384e-05,1.00463318020208e-05,2.7972265359411998e-05,1.41969277353112e-05
winter_solstice,evening,v10,P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.0,0.0,0.0,-5.835782212802016,-5.836000018973095,-5.835579928117568,-5.835800708018792,0.0001440843557638,0.0004200908555276,0.0002207799012241,0.0005365145025895,-5.835778565187127,-5.835579928117568,-5.8359058553382965,-5.835739172477872,-5.836000018973095,0.08,1.1526748461104002e-05,3.3607268442208e-05,1.7662392097928e-05,0.096,1.38320981533248e-05,4.03287221306496e-05,2.11948705175136e-05,0.16,2.3053496922208003e-05,6.7214536884416e-05,3.5324784195856e-05,1.26794233072144e-05,3.69679952864288e-05,1.94286313077208e-05
winter_solstice,evening,v10,P_0000_0034,0,34,-26.6085,0.0135000000000005,26.60850342465731,21,0.783,0.0,0.0,0.0,-5.835570749386599,-5.836134627744229,-5.8351482720293575,-5.835569341520705,0.0002523132282829,0.0007302376391189,0.0004210694913471,0.0009326151202029,-5.8356163489852975,-5.8351482720293575,-5.835745158708505,-5.835458418211886,-5.835878509668476,0.08,2.0185058262632e-05,5.8419011129511996e-05,3.3685559307768e-05,0.096,2.4222069915158403e-05,7.010281335541439e-05,4.04226711693216e-05,0.16,4.0370116525264e-05,0.00011683802225902399,6.7371118615536e-05,2.22035640888952e-05,6.42609122424632e-05,3.7054115238544796e-05
winter_solstice,evening,v10,P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,0.0,0.0,0.0,-5.835294160088004,-5.835714307554838,-5.834807429443004,-5.835323119233943,0.0003482804458566,0.0009068781118335,0.0005156897909381,0.0011582095936571,-5.835426380849185,-5.834807429443004,-5.835630928961848,-5.8350365493608365,-5.835714307554838,0.08,2.7862435668528e-05,7.255024894668e-05,4.1255183275048e-05,0.096,3.34349228022336e-05,8.7060298736016e-05,4.95062199300576e-05,0.16,5.5724871337056e-05,0.00014510049789336,8.2510366550096e-05,3.06486792353808e-05,7.9805273841348e-05,4.5380701602552805e-05
winter_solstice,evening,v10,P_0000_0036,0,36,-26.6085,1.5794999999999997,26.65533891174524,16,0.783,0.0,0.0,0.0,-5.835090023336271,-5.835606348489534,-5.834508541940238,-5.835125570359855,0.0004341080400044,0.0010978065492963,0.0006170284196169,0.0014020517870962,-5.835220542565764,-5.834508541940238,-5.835546525284258,-5.834745893519482,-5.835606348489534,0.08,3.4728643200352006e-05,8.7824523943704e-05,4.9362273569352e-05,0.096,4.16743718404224e-05,0.00010538942873244481,5.92347282832224e-05,0.16,6.945728640070401e-05,0.000175649047887408,9.8724547138704e-05,3.82015075203872e-05,9.660697633807441e-05,5.42985009262872e-05
winter_solstice,evening,v10,P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,0.0,0.0,0.0,-5.834884430459544,-5.835534068809636,-5.834109083027954,-5.83493140826522,0.0005808750896128,0.0014249857816821,0.0008223252372658,0.0018199052128763,-5.835072765306791,-5.834109083027954,-5.835534068809636,-5.834411718211186,-5.835529405970533,0.08,4.647000716902401e-05,0.00011399886253456801,6.5786018981264e-05,0.096,5.576400860282881e-05,0.0001367986350414816,7.89432227775168e-05,0.16,9.294001433804802e-05,0.00022799772506913602,0.000131572037962528,5.111700788592641e-05,0.0001253987487880248,7.236462087939041e-05
winter_solstice,evening,v10,P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,0.0,0.0,0.0,-5.834634235494243,-5.835638808845204,-5.83388315619851,-5.834688748077463,0.0006315998387853,0.0016865851231386,0.000880993244186,0.0021540039886828,-5.834975124701941,-5.83388315619851,-5.834967212531524,-5.834048505633689,-5.835569741321649,0.08,5.0527987102824e-05,0.000134926809851088,7.047945953488e-05,0.096,6.06335845233888e-05,0.00016191217182130561,8.4575351441856e-05,0.16,0.000101055974205648,0.000269853619702176,0.00014095891906976,5.55807858131064e-05,0.0001484194908361968,7.7527405488368e-05
