case_key,snapshot_code,wind_code,equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C,ku_central_min_mm_per_C,u_rms_central_min_mm,u_peak_to_peak_central_min_mm,u_max_abs_from_mean_central_min_mm,ku_central_max_mm_per_C,u_rms_central_max_mm,u_peak_to_peak_central_max_mm,u_max_abs_from_mean_central_max_mm,ku_upper_mm_per_C,u_rms_upper_mm,u_peak_to_peak_upper_mm,u_max_abs_from_mean_upper_mm,u_rms_central_mid_mm,u_peak_to_peak_central_mid_mm,u_max_abs_from_mean_central_mid_mm
summer_solstice,axis,v00,P_0000_0029,0,29,-26.6085,-3.901499999999999,26.89300977019865,12,0.783,1.0,34.219175758226825,47.60060675875747,41.38431973319594,39.19913376939724,42.97577039855025,40.94299051327037,1.5152033995170138,3.7766366291530105,2.0327798852798797,4.823290714116233,39.71152544708315,42.97577039855025,40.33137702772416,42.49714592359709,39.19913376939724,0.08,0.1212162719613611,0.30213093033224087,0.16262239082239038,0.096,0.14545952635363332,0.36255711639868904,0.19514686898686845,0.16,0.2424325439227222,0.6042618606644817,0.32524478164478077,0.13333789915749722,0.332344023365465,0.17888462990462942
summer_solstice,axis,v00,P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,1.0,36.504291031701776,51.71605161302103,41.63267510032829,38.27458976393564,43.421916042150144,41.40992229423887,1.657564560957477,4.493993761936224,2.482000014024948,5.739455634656736,40.99757445447443,43.421916042150144,38.92792228021392,43.06967501828302,40.63252367607282,0.08,0.13260516487659815,0.35951950095489793,0.19856000112199584,0.096,0.15912619785191778,0.4314234011458775,0.238272001346395,0.16,0.2652103297531963,0.7190390019097959,0.3971200022439917,0.14586568136425798,0.3954714510503877,0.2184160012341954
summer_solstice,axis,v00,P_0000_0031,0,31,-26.6085,-2.3355,26.710799922503256,20,0.783,1.0,39.4626519951692,55.37269230593338,41.96033630165565,39.33851549714268,43.79775196142583,41.705869588191646,1.74932004438858,4.459236464283151,2.3673540910489663,5.695065727053833,41.58181233062015,43.79775196142583,40.28930120045328,43.5219669513163,39.33851549714268,0.08,0.1399456035510864,0.3567389171426521,0.1893883272839173,0.096,0.16793472426130368,0.42808670057118253,0.22726599274070078,0.16,0.2798912071021728,0.7134778342853042,0.3787766545678346,0.15394016390619503,0.3924128088569173,0.20832716001230905
summer_solstice,axis,v00,P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,1.0,43.40096875425483,57.30484492041232,42.38193565336286,40.37003948679336,43.968261798351534,42.1731015564785,1.4980782937620467,3.523750265489696,1.80306206968514,4.500319623869343,42.03016419024237,43.893789752283055,40.710387615329296,43.86112673774443,40.37003948679336,0.08,0.11984626350096374,0.2819000212391757,0.1442449655748112,0.096,0.14381551620115648,0.33828002548701086,0.17309395868977345,0.16,0.23969252700192747,0.5638000424783514,0.2884899311496224,0.13183088985106012,0.31009002336309327,0.15866946213229233
summer_solstice,axis,v00,P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,1.0,45.368942933084014,58.448088669218,42.57303887194129,40.79129549014135,44.074084470116645,42.38430246443373,1.413418299005174,3.282788979975294,1.6897820056829147,4.1925785184869655,42.21369833918664,44.074084470116645,40.9106060657777,43.931827956946336,40.79129549014135,0.08,0.11307346392041392,0.2626231183980235,0.13518256045463317,0.096,0.13568815670449672,0.3151477420776282,0.1622190725455598,0.16,0.22614692784082785,0.525246236796047,0.27036512090926634,0.12438081031245532,0.28888543023782587,0.14870081650009648
summer_solstice,axis,v00,P_0000_0034,0,34,-26.6085,0.0135000000000005,26.60850342465731,21,0.783,1.0,44.24469613600828,58.84293449431699,42.36655304939035,37.66426046779554,44.09673593557045,42.42916330022835,1.3830529524684034,3.1500178697987664,1.6591439278706233,4.023011327967773,42.224760908391886,43.95492319709683,40.93828935830021,44.08830722809898,40.93953580925387,0.08,0.11064423619747228,0.2520014295839013,0.13273151422964985,0.096,0.13277308343696673,0.30240171550068157,0.15927781707557984,0.16,0.22128847239494456,0.5040028591678026,0.2654630284592997,0.12170865981721951,0.27720157254229144,0.14600466565261483
summer_solstice,axis,v00,P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,1.0,45.84176059030331,58.76330044069752,42.48005630109701,40.65499137128609,43.9404344481581,42.30484378588128,1.399419262647393,3.285443076872013,1.6498524145951947,4.195968169696058,42.15826753654534,43.86179293042591,40.65499137128609,43.9404344481581,40.90873264299097,0.08,0.11195354101179143,0.26283544614976107,0.1319881931676156,0.096,0.13434424921414972,0.31540253537971324,0.1583858318011387,0.16,0.22390708202358287,0.5256708922995221,0.2639763863352312,0.12314889511297059,0.2891189907647371,0.14518701248437715
summer_solstice,axis,v00,P_0000_0036,0,36,-26.6085,1.5794999999999997,26.65533891174524,16,0.783,1.0,44.29406877344681,58.04033905386452,42.24073250265823,40.23198128179905,43.85069718667705,42.02100428188747,1.4861728047000948,3.5916387991296688,1.8026157990412488,4.587022731966371,41.88034478920128,43.59544181965134,40.23198128179905,43.82362008092872,40.57363343785698,0.08,0.1188938243760076,0.28733110393037353,0.1442092639232999,0.096,0.1426725892512091,0.3447973247164482,0.1730511167079599,0.16,0.2377876487520152,0.5746622078607471,0.2884185278465998,0.13078320681360833,0.31606421432341086,0.15863019031562992
summer_solstice,axis,v00,P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,1.0,40.828569671580446,56.52846880135829,41.72514641456843,39.17820948025201,43.53201593038472,41.46389333381128,1.707675618850636,4.353806450132716,2.28568385355927,5.560416922264005,41.36075123797764,43.20810654631208,39.17820948025201,43.53201593038472,40.04038347412995,0.08,0.13661404950805087,0.34830451601061724,0.1828547082847416,0.096,0.16393685940966105,0.4179654192127407,0.21942564994168992,0.16,0.27322809901610173,0.6966090320212345,0.3657094165694832,0.15027545445885596,0.383134967611679,0.20114017911321574
summer_solstice,axis,v00,P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,1.0,38.32801628097612,53.39718106091178,41.3708472134737,38.23953952033753,43.10814710180563,41.16094651484448,1.5728070610312317,4.303586841534695,2.3563862545735432,5.496279491104336,40.79825864883816,42.68596780122312,40.40779876208455,43.10814710180563,38.80456026027093,0.08,0.12582456488249855,0.34428694732277565,0.18851090036588347,0.096,0.15098947785899824,0.41314433678733076,0.22621308043906016,0.16,0.2516491297649971,0.6885738946455513,0.37702180073176694,0.1384070213707484,0.3787156420550532,0.20736199040247183
summer_solstice,axis,v00,P_0000_0039,0,39,-26.6085,3.9285,26.89694005830403,12,0.783,1.0,36.478193453830016,49.70201856862091,41.120549652814354,39.33335305192395,42.5497434775678,40.76342298594976,1.3021198952587936,3.216390425643852,1.7863204916180422,4.107778321384229,39.66600574508681,42.07276922800946,39.33335305192395,42.5497434775678,40.19524342716079,0.08,0.1041695916207035,0.25731123405150813,0.1429056393294434,0.096,0.1250035099448442,0.3087734808618098,0.17148676719533204,0.16,0.208339183241407,0.5146224681030163,0.2858112786588868,0.11458655078277384,0.28304235745665896,0.1571962032623877
summer_solstice,axis,v00,P_0001_0024,1,24,-25.8255,-7.816499999999998,26.982478064477323,8,0.783,1.0,27.752218902052626,39.85374127106816,40.53242611388198,38.3730124942154,41.93362598825047,40.38282556510171,1.160430702441766,3.560613494035067,2.0098130708863096,4.5473990983845045,40.15439709459855,41.93362598825047,40.73652940632752,40.716562842116616,38.3730124942154,0.08,0.09283445619534128,0.28484907952280536,0.16078504567090476,0.096,0.11140134743440953,0.34181889542736643,0.19294205480508572,0.16,0.18566891239068256,0.5696981590456107,0.3215700913418095,0.1021179018148754,0.3133339874750859,0.17686355023799524
summer_solstice,axis,v00,P_0001_0025,1,25,-25.8255,-7.0335,26.766146015069108,17,0.783,1.0,34.55677609883492,51.5006755750569,41.36513973877098,38.58284584239698,43.32039833552682,41.2330926801608,1.6035488330578662,4.106030225466384,2.0873056553660163,5.243972190889379,41.85281774687792,43.32039833552682,39.50984412643589,42.26803508190295,39.214368110060434,0.08,0.1282839066446293,0.3284824180373107,0.1669844524292813,0.096,0.15394068797355517,0.39417890164477287,0.20038134291513757,0.16,0.2565678132892586,0.6569648360746214,0.3339689048585626,0.14111229730909225,0.3613306598410418,0.18368289767220944
summer_solstice,axis,v00,P_0001_0026,1,26,-25.8255,-6.250499999999999,26.571134723605613,16,0.783,1.0,43.45427539407713,58.39582353548173,42.45150769452779,40.10207350794133,44.10850181705644,42.417230247709576,1.4889713406088114,4.006428309115115,2.3151567397682484,5.116766678307938,42.95410281963058,44.10850181705644,41.326538535110274,43.59493455880926,40.10207350794133,0.08,0.11911770724870492,0.32051426472920924,0.18521253918145988,0.096,0.1429412486984459,0.3846171176750511,0.22225504701775187,0.16,0.23823541449740984,0.6410285294584185,0.37042507836291977,0.13102947797357542,0.35256569120213016,0.20373379309960588
summer_solstice,axis,v00,P_0001_0027,1,27,-25.8255,-5.467499999999998,26.39791670757372,16,0.783,1.0,51.338050443671605,63.92120019274149,43.39317198061305,41.683866779737855,44.824102736517375,43.4461381566256,1.188104492963454,3.14023595677952,1.762271376887739,4.010518463319949,43.94126718111585,44.824102736517375,42.44144281046448,44.3400112752924,41.683866779737855,0.08,0.09504835943707633,0.25121887654236164,0.14098171015101912,0.096,0.11405803132449159,0.30146265185083393,0.16917805218122295,0.16,0.19009671887415266,0.5024377530847233,0.28196342030203825,0.10455319538078396,0.2763407641965978,0.15507988116612104
