case_key,snapshot_code,wind_code,equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C,ku_central_min_mm_per_C,u_rms_central_min_mm,u_peak_to_peak_central_min_mm,u_max_abs_from_mean_central_min_mm,ku_central_max_mm_per_C,u_rms_central_max_mm,u_peak_to_peak_central_max_mm,u_max_abs_from_mean_central_max_mm,ku_upper_mm_per_C,u_rms_upper_mm,u_peak_to_peak_upper_mm,u_max_abs_from_mean_upper_mm,u_rms_central_mid_mm,u_peak_to_peak_central_mid_mm,u_max_abs_from_mean_central_mid_mm
winter_solstice,peak,v00,P_0000_0029,0,29,-26.6085,-3.901499999999999,26.89300977019865,12,0.783,0.0,0.0,0.0,-3.849357353670712,-4.454174026111502,-3.3329805991216404,-3.956882188665179,0.4085174428837148,1.121193426989862,0.6239015895435385,1.4319200855553793,-4.295648786567654,-3.3329805991216404,-4.024890050704983,-3.676717480820116,-4.454174026111502,0.08,0.03268139543069718,0.08969547415918896,0.04991212716348308,0.096,0.039217674516836616,0.10763456899102676,0.05989455259617969,0.16,0.06536279086139436,0.17939094831837793,0.09982425432696616,0.0359495349737669,0.09866502157510787,0.054903339879831384
winter_solstice,peak,v00,P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.0,0.0,0.0,-3.4946035661561887,-4.320605108618167,-2.875675325645432,-3.5562288145138155,0.4514033160417718,1.243387627142567,0.6805534888683833,1.5879790895818224,-3.6650897665606976,-2.875675325645432,-4.119062952787999,-3.2237607685057696,-3.897555259069179,0.08,0.03611226528334174,0.09947101017140536,0.05444427910947067,0.096,0.0433347183400101,0.11936521220568644,0.06533313493136479,0.16,0.07222453056668349,0.19894202034281072,0.10888855821894133,0.03972349181167592,0.1094181111885459,0.05988870702041773
winter_solstice,peak,v00,P_0000_0031,0,31,-26.6085,-2.3355,26.710799922503256,20,0.783,0.0,0.0,0.0,-3.076070200638398,-3.959723027504026,-2.311963356818296,-3.1415742417093155,0.5666075864065656,1.6477596706857305,0.8296108848910198,2.104418481080115,-3.2109309078621777,-2.311963356818296,-3.4598393508553045,-2.7654145655067737,-3.959723027504026,0.08,0.04532860691252525,0.13182077365485845,0.06636887079128158,0.096,0.0543943282950303,0.15818492838583012,0.07964264494953789,0.16,0.0906572138250505,0.2636415473097169,0.13273774158256316,0.04986146760377777,0.14500285102034427,0.07300575787040973
winter_solstice,peak,v00,P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.0,0.0,0.0,-2.5796274177930627,-3.34751268174125,-1.8736615940001684,-2.64744814582408,0.5398665281194479,1.4738510877410818,0.7737865518239118,1.8823130111635784,-2.77747534391358,-1.8736615940001684,-3.037596373326778,-2.2009947361386253,-3.34751268174125,0.08,0.04318932224955584,0.11790808701928654,0.06190292414591294,0.096,0.051827186699467,0.14148970442314385,0.07428350897509553,0.16,0.08637864449911167,0.23581617403857308,0.12380584829182588,0.047508254474511416,0.12969889572121518,0.06809321656050424
winter_solstice,peak,v00,P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.0,0.0,0.0,-2.161116605462773,-2.933610811653068,-1.4309634339370518,-2.2080976854323127,0.553009522636011,1.5026473777160163,0.7771342514952608,1.919089882140506,-2.268670274971271,-1.4309634339370518,-2.648077584665657,-1.759166321934515,-2.933610811653068,0.08,0.04424076181088088,0.1202117902172813,0.06217074011962087,0.096,0.053088914173057056,0.14425414826073757,0.07460488814354505,0.16,0.08848152362176176,0.2404235804345626,0.12434148023924174,0.04866483799196897,0.13223296923900943,0.06838781413158296
winter_solstice,peak,v00,P_0000_0034,0,34,-26.6085,0.0135000000000005,26.60850342465731,21,0.783,0.0,0.0,0.0,-1.8072529161848556,-3.4268178055666,-0.9029521083633084,-1.7941100702913104,0.6086755200786659,1.6580458751911356,0.891157961928002,2.117555396157261,-1.894574116193553,-0.9029521083633084,-2.2854781234207167,-1.3265480199245303,-2.560997983554444,0.08,0.04869404160629327,0.13264367001529084,0.07129263695424017,0.096,0.058432849927551926,0.159172404018349,0.0855511643450882,0.16,0.09738808321258655,0.2652873400305817,0.14258527390848033,0.053563445766922596,0.14590803701681992,0.07842190064966417
winter_solstice,peak,v00,P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,0.0,0.0,0.0,-1.3739105979304291,-2.208708794488245,-0.5040772582299269,-1.437855527864747,0.6798128457856504,1.7046315362583182,0.93377826963482,2.1770517704448507,-1.5988165838935515,-0.5040772582299269,-2.0786267326141683,-0.7990482700978419,-2.208708794488245,0.08,0.05438502766285203,0.13637052290066545,0.0747022615707856,0.096,0.06526203319542244,0.16364462748079855,0.08964271388494273,0.16,0.10877005532570407,0.2727410458013309,0.1494045231415712,0.05982353042913724,0.150007575190732,0.08217248772786417
winter_solstice,peak,v00,P_0000_0036,0,36,-26.6085,1.5794999999999997,26.65533891174524,16,0.783,0.0,0.0,0.0,-1.1213613230248676,-2.0210180049941755,-0.214937888179179,-1.1971695512779548,0.7586453418744195,1.8060801168149965,0.9822316630987756,2.306615730287352,-1.3767103972379573,-0.214937888179179,-1.961751916516107,-0.4114295494623547,-2.0210180049941755,0.08,0.06069162734995356,0.1444864093451997,0.07857853304790205,0.096,0.07282995281994427,0.17338369121423966,0.09429423965748246,0.16,0.12138325469990711,0.2889728186903994,0.1571570660958041,0.06676079008494891,0.1589350502797197,0.08643638635269225
winter_solstice,peak,v00,P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,0.0,0.0,0.0,-0.9017812339832034,-1.9266774879110928,0.1099156514350738,-0.9841761323982724,0.8465923015698666,2.0365931393461665,1.0940917838333462,2.601012949356534,-1.1379292166573691,0.1099156514350738,-1.841757904641213,-0.1244317042167608,-1.9266774879110928,0.08,0.06772738412558933,0.16292745114769333,0.08752734270666769,0.096,0.0812728609507072,0.195512941377232,0.10503281124800123,0.16,0.13545476825117866,0.32585490229538666,0.17505468541333538,0.07450012253814826,0.17922019626246266,0.09628007697733446
winter_solstice,peak,v00,P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,0.0,0.0,0.0,-0.6400586598710447,-1.9930820126626827,0.1886263314913208,-0.7150639461490641,0.7818832653262467,2.097369752914972,1.1936794752745867,2.6786331454852768,-0.9890482232834188,0.1886263314913208,-0.9720948203298008,0.1059404028002291,-1.908743421423651,0.08,0.06255066122609974,0.1677895802331978,0.09549435802196694,0.096,0.07506079347131969,0.20134749627983733,0.11459322962636033,0.16,0.1251013224521995,0.3355791604663956,0.1909887160439339,0.06880572734870971,0.18456853825651756,0.10504379382416364
