equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,1.0,34.219175758226825,47.60060675875747,34.15780132427796,33.05185671844015,34.970242588809185,33.933354525745834,0.7734812580581244,1.9183858703690362,1.0368880630633512,2.4500458114547077,33.28900887896236,34.970242588809185,33.6280727086114,34.72759173390608,33.05185671844015
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,1.0,36.504291031701776,51.71605161302103,34.29849071960097,32.58825551492532,35.22042232427083,34.18466914933246,0.8505506859486359,2.29742554377259,1.261672368834219,2.934132239811737,33.979717167679155,35.22042232427083,32.92299678049824,35.03953817438594,33.76067129982812
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,1.0,39.4626519951692,55.37269230593338,34.47985653854741,33.12563224897156,35.44144741396133,34.34703254500823,0.9063415179373292,2.3158151649897647,1.2214002960366699,2.957618346091653,34.29665109940572,35.44144741396133,33.599222002497754,35.272209960204805,33.12563224897156
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,1.0,43.40096875425483,57.30484492041232,34.719046345257595,33.67628808632497,35.556601089366495,34.61276945951444,0.7879404166525015,1.8803130030415218,0.9438316298520562,2.401421459823144,34.50515749955457,35.556601089366495,33.85054926185245,35.47525136047369,33.67628808632497
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,1.0,45.368942933084014,58.448088669218,34.83715203890842,33.89275939159421,35.624352792881496,34.74549412272588,0.7467088018325734,1.7315934012872845,0.8788586701556156,2.2114858253988308,34.65303284715213,35.624352792881496,33.97942200084606,35.57790358115551,33.89275939159421
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,1.0,44.24469613600828,58.84293449431699,34.765477809329234,32.33435112501115,35.64457013472736,34.794846348804825,0.7338609331945947,1.6466033574361632,0.8479973199702471,2.102941708092162,34.69480005443546,35.64284366877507,34.0063569028182,35.63399080665647,33.99624031133891
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,1.0,45.84176059030331,58.76330044069752,34.85912829069257,33.92229798437427,35.63826666991588,34.76701344182768,0.746201253291966,1.7159686855416112,0.8712532280882002,2.1915308883034625,34.67269458692539,35.60721099015552,33.92229798437427,35.63826666991588,33.994596977767344
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,1.0,44.29406877344681,58.04033905386452,34.76071282197036,33.72606989973974,35.59097064343041,34.65484979175693,0.7867922861028323,1.8649007436906686,0.9361208516734791,2.3817378591196277,34.549605417372334,35.52245504395978,33.72606989973974,35.59097064343041,33.88514795428239
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,1.0,40.828569671580446,56.52846880135829,34.54348235733515,33.20075341307074,35.49371695590156,34.410585244244224,0.9037524689083734,2.292963542830819,1.2098318311734815,2.928433643462093,34.36052770172057,35.34420009782326,33.20075341307074,35.49371695590156,33.65372805270499
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,1.0,38.328016280976115,53.39718106091178,34.383818671069726,32.673879063408265,35.29748163002307,34.27036428914035,0.8505260217449427,2.2942376584724116,1.2671203175896935,2.930060866503718,34.064321854135585,35.131539366087395,33.85523462390506,35.29748163002307,33.00324397155066
P_0000_0039,0,39,-26.6085,3.9284999999999997,26.89694005830403,12,0.783,1.0,36.478193453830016,49.70201856862091,34.263756708469224,33.16827838350639,35.06691049409977,34.040434536339035,0.7695647703849365,1.8986321105933825,1.0264759577607379,2.4248175103363763,33.39959889389547,34.83948975699769,33.16827838350639,35.06691049409977,33.727895153195846
P_0001_0024,1,24,-25.825499999999998,-7.816499999999998,26.982478064477323,8,0.783,1.0,27.752218902052622,39.85374127106816,33.72593472385128,32.63061432837702,34.46524369129423,33.65275708886719,0.5963102235042717,1.8346293629172123,1.0221427604901692,2.3430770918482917,33.5272820489634,34.46524369129423,33.796672468312124,33.84397290738917,32.63061432837702
P_0001_0025,1,25,-25.825499999999998,-7.0335,26.766146015069108,17,0.783,1.0,34.556776098834916,51.5006755750569,34.14990380366699,32.719723017292495,35.178800045279615,34.08788429716634,0.8346058576819396,2.1327637212407353,1.0909157481132752,2.723836170166967,34.39816608609988,35.178800045279615,33.18486676218242,34.631552268230905,33.04603632403888
P_0001_0026,1,26,-25.825499999999998,-6.250499999999999,26.571134723605613,16,0.783,1.0,43.45427539407713,58.39582353548173,34.69787845290102,33.48891389692102,35.599984029743155,34.69170506220979,0.7809253958963521,2.1110701328221353,1.2027911652887724,2.6961304378315902,34.96655136995213,35.599984029743155,34.10916513768035,35.29391087675231,33.48891389692102
