source_snapshot_name,case_key,case_label,snapshot_code,wind_code,selected_local_time,equivalent_panel_count,equivalent_cell_size_m,panel_delta_rms_min_C,panel_delta_rms_mean_C,panel_delta_rms_p95_C,panel_delta_rms_max_C,panel_delta_peak_to_peak_mean_C,panel_delta_peak_to_peak_p95_C,panel_delta_peak_to_peak_max_C,panel_temperature_gradient_mean_C_per_m,panel_temperature_gradient_p95_C_per_m,panel_temperature_gradient_max_C_per_m,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panels_delta_rms_ge_0p25_C_count,panels_delta_rms_ge_0p25_C_fraction,panels_delta_rms_ge_0p5_C_count,panels_delta_rms_ge_0p5_C_fraction,panels_delta_rms_ge_1p0_C_count,panels_delta_rms_ge_1p0_C_fraction,panels_delta_rms_ge_2p0_C_count,panels_delta_rms_ge_2p0_C_fraction
transient_snapshot_spring_equinox_axis_v00.csv,spring_equinox,Spring equinox,axis,v00,2026-03-20T13:10:00+04:00,3737,0.783,0.0,0.5457566523523288,1.5185240349049893,5.762062105452211,1.5092824675821597,4.1161395365458935,13.032104399068317,1.9275638155583137,5.256883188436646,16.643811493062984,128.9473466648448,237.20913020076196,2922,0.7819106234947819,1292,0.3457318704843457,516,0.13807867273213809,53,0.014182499331014183
transient_snapshot_spring_equinox_axis_v02.csv,spring_equinox,Spring equinox,axis,v02,2026-03-20T13:10:00+04:00,3737,0.783,0.0,0.3754849889632468,1.259247011574257,5.031450867191332,1.0363140244700886,3.419196329792339,11.40793483041875,1.3235172726310198,4.366789693221378,14.569520856218071,128.9473466648448,237.20913020076196,1725,0.4616002140754616,744,0.19909017928819908,315,0.0842922130050843,28,0.007492641156007493
transient_snapshot_spring_equinox_axis_v05.csv,spring_equinox,Spring equinox,axis,v05,2026-03-20T13:10:00+04:00,3737,0.783,0.0,0.3205536060683667,1.1857912689318406,4.650739026570832,0.8817343753115628,3.2584560052991582,10.518120459831323,1.1260975419049335,4.161501922476575,13.433104035544472,128.9473466648448,237.20913020076196,1269,0.3395772009633396,627,0.1677816430291678,276,0.07385603425207386,21,0.00561948086700562
transient_snapshot_spring_equinox_axis_v10.csv,spring_equinox,Spring equinox,axis,v10,2026-03-20T13:10:00+04:00,3737,0.783,0.0,0.27585499854500783,1.1250249137254027,4.261560341068395,0.7547133247824823,3.0236672981091095,9.590121855887332,0.963873978010833,3.8616440588877516,12.247920633317154,128.9473466648448,237.20913020076196,978,0.2617072518062617,530,0.1418249933101418,237,0.06341985549906343,17,0.004549103559004549
transient_snapshot_spring_equinox_evening_v00.csv,spring_equinox,Spring equinox,evening,v00,2026-03-20T18:10:00+04:00,3737,0.783,0.0,0.34332754991002024,0.9078736419255631,9.986754030390983,0.9544694185809918,2.462537872730354,24.998613699565738,1.218990317472531,3.1450036688765697,31.926709705703367,67.15602252725974,237.80756469388737,1885,0.5044153063955045,407,0.10891089108910891,167,0.04468825260904469,76,0.020337168852020335
transient_snapshot_spring_equinox_evening_v02.csv,spring_equinox,Spring equinox,evening,v02,2026-03-20T18:10:00+04:00,3737,0.783,0.0,0.19685607244553413,0.5229419533783219,7.119466811147547,0.5367217089533917,1.4580156300503857,15.43328377366214,0.6854683383823647,1.8620889272674146,19.710451818214736,67.15602252725974,237.80756469388737,359,0.09606636339309607,192,0.05137811078405138,125,0.03344929087503345,49,0.013112122023013113
transient_snapshot_spring_equinox_evening_v05.csv,spring_equinox,Spring equinox,evening,v05,2026-03-20T18:10:00+04:00,3737,0.783,0.0,0.15941927322541483,0.38251495751973597,5.993562536291357,0.4300674021344416,1.0766040833019859,12.751628280277203,0.5492559414232969,1.3749732864648607,16.28560444479847,67.15602252725974,237.80756469388737,247,0.0660957987690661,165,0.044153063955044154,116,0.03104094193203104,43,0.011506556061011506
transient_snapshot_spring_equinox_evening_v10.csv,spring_equinox,Spring equinox,evening,v10,2026-03-20T18:10:00+04:00,3737,0.783,0.0,0.1322179268428273,0.2665694055579209,5.03911470178683,0.35217420767282204,0.7365099703732384,10.581948848783046,0.44977548872646494,0.9406257603745063,13.51462177366928,67.15602252725974,237.80756469388737,193,0.05164570511105165,148,0.039603960396039604,97,0.025956649719025955,36,0.009633395772009633
transient_snapshot_spring_equinox_morning_v00.csv,spring_equinox,Spring equinox,morning,v00,2026-03-20T08:10:00+04:00,3737,0.783,0.0,0.15141263440628713,0.20812203263165313,5.314801378077339,0.38420547404365263,0.5284834090964863,15.058033445398735,0.49068387489610804,0.6749468826264192,19.231204911109494,66.76618817354662,237.8217538417338,86,0.023013112122023012,85,0.022745517795022745,84,0.02247792346802248,51,0.013647310677013648
transient_snapshot_spring_equinox_morning_v02.csv,spring_equinox,Spring equinox,morning,v02,2026-03-20T08:10:00+04:00,3737,0.783,0.0,0.12584236538916183,0.16634275703641133,4.313375396995139,0.3202150498113029,0.42635111464030606,12.562644983520045,0.4089591951613064,0.5445097249556909,16.04424646681998,66.76618817354662,237.8217538417338,85,0.022745517795022745,85,0.022745517795022745,81,0.021675140487021675,45,0.012041744715012041
