equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,0.16666666666666666,12.689439747359978,77.80142883746687,-5.400208218122586,-5.823611804600546,-3.671503020244757,-5.0055885766603865,0.7919622894764741,2.15202450062344,1.3340855564156295,2.7484348666966025,-4.5505062511967935,-5.426125384809097,-5.823527520868197,-5.556280706183088,-3.671503020244757
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.14285714285714285,11.345063462851359,81.5372367267648,-5.0343724911546985,-5.81258253341224,-1.3873786868321076,-4.771566873317624,1.6880850002409462,4.399381504035375,3.35836584394076,5.61862261051772,-5.796647608269325,-5.4127308613947775,-1.4132010293768644,-5.422672334134916,-5.81258253341224
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,0.25,22.294729756014203,93.41674743190552,-4.6702576478392555,-5.796158707564473,-1.5908630814097364,-4.091807874538574,1.7761771196520504,4.1820451712303,2.5009447931288378,5.341053858531673,-5.772908252640036,-5.397344627141308,-2.2883804476037994,-5.409542963897991,-1.5908630814097364
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.25,24.442691118155437,100.21029319851834,-4.727915288695073,-5.771819507863597,-2.041741352072165,-4.161927534371273,1.6667014121745052,3.729729217804618,2.120186182299108,4.763383419929269,-5.771470569876783,-5.385941296834687,-2.041741352072165,-5.394423029279665,-2.2160614237930645
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.25,25.95384892866857,105.8568981760142,-4.60191044219178,-5.770460441865737,-1.1515634651585742,-3.961792988740501,1.9745189690579599,4.618251756372047,2.810229523581927,5.898150391279753,-5.769815221530621,-5.515570077723794,-1.1515634651585742,-5.383204831773639,-1.9888113475158773
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,0.42857142857142855,47.189001623839495,117.58200064637812,-3.957770031511126,-5.769191122336338,-0.0592347177109218,-3.2772210696579123,2.1619293119287244,5.118501100344589,2.8818579982769847,6.537038442330254,-3.869132223765973,-5.507305989589895,-0.3953630713809275,-5.513864171725516,-1.10043989182725
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,0.5,58.52248491916193,121.50165233543215,-3.3825297074970457,-5.731502528768885,0.1420905656318609,-2.7609113568278985,2.472898376678782,5.750467739516353,2.9030019224597594,7.344147815474269,-2.3815790401536674,-5.605340227840088,0.1420905656318609,-5.608377173884492,-0.3513509078931065
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,0.6875,84.27682763008045,129.49070154623246,-2.4218444983639777,-5.730225892153271,0.7442100962574614,-2.098773247168083,2.9166427218736315,6.420417045938223,3.5774337025126783,8.19976634219441,-0.4119496939242708,-5.676206949680761,0.7442100962574614,-5.60436214488027,0.4544424563874258
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,0.9,114.69757246372956,137.13038973023183,-0.924936926700093,-5.675603393776385,1.0930352748711698,-0.9979564974474556,2.561869806768775,6.768638668647554,4.677646896328929,8.644493829690363,0.6667462044511012,-1.8344825475650168,1.0930352748711698,-5.675603393776385,0.7605219747818524
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,1.0,131.37447736185638,139.57205391165152,0.31579091513866936,-1.8530384420532189,1.4076201164649549,0.2603274666104198,1.282164827918679,3.2606585585181738,2.1133659086636385,4.164314889550669,1.2427645328910444,-0.6057066578333092,1.4076201164649549,-1.8530384420532189,1.109997783582628
