panel_id,control_point_id,x_m,y_m,z_m,projected_radius_m,azimuth_deg,normal_x,normal_y,normal_z,clipped_to_aperture
1,C,0.312269176,0.000000000,-26.998194161,0.312269176,0.000000000,-0.011565525051,-0.000000000000,0.999933117078,false
1,PX,0.664503412,0.000000000,-26.991821636,0.664503412,0.000000000,-0.024611237499,-0.000000000000,0.999697097619,false
1,NX,-0.039965060,0.000000000,-26.999970422,0.039965060,180.000000000,0.001480187396,-0.000000000000,0.999998904522,false
1,PY,0.312269176,0.352234236,-26.995896336,0.470723906,48.441779675,-0.011565525051,-0.013045712447,0.999848012458,false
1,NY,0.312269176,-0.352234236,-26.995896336,0.470723906,311.558220325,-0.011565525051,0.013045712447,0.999848012458,false
2,C,-0.398817814,0.365349787,-26.994582121,0.540866079,137.507764050,0.014771030147,-0.013531473591,0.999799337813,false
2,PX,-0.046583578,0.365349787,-26.997487837,0.368307611,97.266236843,0.001725317700,-0.013531473591,0.999906956922,false
2,NX,-0.751052050,0.365349787,-26.987079137,0.835200364,154.059363073,0.027816742594,-0.013531473591,0.999521449522,false
2,PY,-0.398817814,0.717584023,-26.987515957,0.820964359,119.064366832,0.014771030147,-0.026577186038,0.999537628031,false
2,NY,-0.398817814,0.013115551,-26.997051178,0.399033415,178.116445758,0.014771030147,-0.000485761144,0.999890784388,false
3,C,0.061045459,-0.695581515,-26.990969597,0.698255106,275.015528100,-0.002260942913,0.025762278349,0.999665540644,false
3,PX,0.413279695,-0.695581515,-26.987874430,0.809094402,300.716660419,-0.015306655360,0.025762278349,0.999550904815,false
3,NX,-0.291188777,-0.695581515,-26.989467862,0.754071978,247.284527918,0.010784769534,0.025762278349,0.999609920799,false
3,PY,0.061045459,-0.343347279,-26.997747797,0.348731849,280.081559225,-0.002260942913,0.012716565902,0.999916585065,false
3,NY,0.061045459,-1.047815751,-26.979591465,1.049592491,273.334267442,-0.002260942913,0.038807990796,0.999244128323,false
4,C,0.502684023,0.655662293,-26.987356590,0.826186583,52.523292150,-0.018617926793,-0.024283788624,0.999531725566,false
4,PX,0.854918259,0.655662293,-26.978495542,1.077394205,37.485673787,-0.031663639241,-0.024283788624,0.999203538605,false
4,NX,0.150449787,0.655662293,-26.991618548,0.672702149,77.076498206,-0.005572214346,-0.024283788624,0.999689575837,false
4,PY,0.502684023,1.007896529,-26.976498167,1.126297758,63.492472199,-0.018617926793,-0.037329501071,0.999129561744,false
4,NY,0.502684023,0.303428057,-26.993614804,0.587162510,31.115847664,-0.018617926793,-0.011238076177,0.999763511259,false
5,C,-0.922487007,-0.163174963,-26.983743099,0.936807529,190.031056200,0.034166185449,0.006043517132,0.999397892570,false
5,PX,-0.570252771,-0.163174963,-26.993484134,0.593139352,195.968207374,0.021120473002,0.006043517132,0.999758671641,false
5,NX,-1.274721243,-0.163174963,-26.969398578,1.285122685,187.294666994,0.047211897896,0.006043517132,0.998866614017,false
5,PY,-0.922487007,0.189059274,-26.983574157,0.941661132,168.417887623,0.034166185449,-0.007002195315,0.999391635463,false
5,NY,-0.922487007,-0.515409199,-26.979313762,1.056706639,209.192835848,0.034166185449,0.019089229579,0.999233843045,false
6,C,0.873860224,-0.555878344,-26.980129125,1.035679692,327.538820250,-0.032365193466,0.020588086817,0.999264041649,false
6,PX,1.226094460,-0.555878344,-26.966417850,1.346220026,335.611735090,-0.045410905913,0.020588086817,0.998756216654,false
6,NX,0.521625988,-0.555878344,-26.989236847,0.762295484,313.179260388,-0.019319481019,0.020588086817,0.999601364712,false
6,PY,0.873860224,-0.203644108,-26.985086574,0.897275104,346.881935022,-0.032365193466,0.007542374370,0.999447650876,false
6,NY,0.873860224,-0.908112580,-26.970570996,1.260277806,313.898819431,-0.032365193466,0.033633799264,0.998910036890,false
7,C,-0.292289143,1.087301043,-26.976514666,1.125902527,105.046584300,0.010825523814,-0.040270408993,0.999130172797,false
7,PX,0.059945093,1.087301043,-26.978031489,1.088952236,86.844363090,-0.002220188634,-0.040270408993,0.999186351449,false
7,NX,-0.644523379,1.087301043,-26.970397959,1.263975452,120.658343910,0.023871236261,-0.040270408993,0.998903628104,false
7,PY,-0.292289143,1.439535279,-26.960013079,1.468909379,101.477539644,0.010825523814,-0.053316121440,0.998519002938,false
7,NY,-0.292289143,0.735066807,-26.988409435,0.791047504,111.684557496,0.010825523814,-0.027224696546,0.999570719825,false
8,C,-0.557427095,-1.073291951,-26.972899722,1.209413320,242.554348350,0.020645447957,0.039751553736,0.998996286006,false
8,PX,-0.205192859,-1.073291951,-26.977878721,1.092730397,259.176747148,0.007599735509,0.039751553736,0.999180693366,false
8,NX,-0.909661331,-1.073291951,-26.963318799,1.406925495,229.717282350,0.033691160404,0.039751553736,0.998641436996,false
8,PY,-0.557427095,-0.721057715,-26.984613223,0.911399580,232.293515703,0.020645447957,0.026705841289,0.999430119378,false
8,NY,-0.557427095,-1.425526187,-26.956578977,1.530637082,248.642885546,0.020645447957,0.052797266183,0.998391813950,false
9,C,1.209393826,0.441668686,-26.969284294,1.287518798,20.062112400,-0.044792363936,-0.016358099469,0.998862381269,false
9,PX,1.561628062,0.441668686,-26.951182656,1.622884294,15.792271117,-0.057838076383,-0.016358099469,0.998191950229,false
9,NX,0.857159590,0.441668686,-26.982776103,0.964258156,27.260696407,-0.031746651489,-0.016358099469,0.999362077878,false
9,PY,1.209393826,0.793902922,-26.961214452,1.446691147,33.282775898,-0.044792363936,-0.029403811916,0.998563498220,false
9,NY,1.209393826,0.089434450,-26.972752326,1.212696148,4.229314059,-0.044792363936,-0.003312387021,0.998990826897,false
10,C,-1.258172753,0.519355423,-26.965668382,1.361149783,157.569876450,0.046598990860,-0.019235386023,0.998728458579,false
10,PX,-0.905938517,0.519355423,-26.979798838,1.044248367,150.175263302,0.033553278413,-0.019235386023,0.999251808821,false
10,NX,-1.610406989,0.519355423,-26.946926713,1.692081773,162.125515427,0.059644703307,-0.019235386023,0.998034322702,false
10,PY,-1.258172753,0.871589659,-26.956582365,1.530577411,145.288011402,0.046598990860,-0.032281098470,0.998391939437,false
10,NY,-1.258172753,0.167121187,-26.970151498,1.269223451,172.433778673,0.046598990860,-0.006189673576,0.998894499931,false
11,C,0.606522406,-1.296103152,-26.962051984,1.430997138,295.077640500,-0.022463792810,0.048003820438,0.998594517928,false
11,PX,0.958756642,-1.296103152,-26.951825584,1.612171727,306.491165435,-0.035509505257,0.048003820438,0.998215762378,false
11,NX,0.254288170,-1.296103152,-26.967674244,1.320812573,281.100120939,-0.009418080363,0.048003820438,0.998802749789,false
11,PY,0.606522406,-0.943868916,-26.976679596,1.121943831,302.724466753,-0.022463792810,0.034958107991,0.999136281344,false
11,NY,0.606522406,-1.648337388,-26.942811925,1.756384233,290.201602191,-0.022463792810,0.061049532885,0.997881923149,false
12,C,0.448204630,1.428946988,-26.958435101,1.497590360,72.585404550,-0.016600171491,-0.052923962531,0.998460559309,false
12,PX,0.800438866,1.428946988,-26.950276587,1.637861983,60.744197760,-0.029645883938,-0.052923962531,0.998158392118,false
12,NX,0.095970394,1.428946988,-26.961989915,1.432166126,86.157692857,-0.003554459044,-0.052923962531,0.998592219082,false
12,PY,0.448204630,1.781181224,-26.937455449,1.836707365,75.875710360,-0.016600171491,-0.065969674978,0.997683535140,false
12,NY,0.448204630,1.076712752,-26.974799392,1.166275157,67.399438994,-0.016600171491,-0.039878250083,0.999066644162,false
13,C,-1.350893959,-0.782870662,-26.954817733,1.561345882,210.093168600,0.050033109606,0.028995209709,0.998326582716,false
13,PX,-0.998659723,-0.782870662,-26.970164855,1.268939603,218.093654512,0.036987397159,0.028995209709,0.998894994614,false
13,NX,-1.703128195,-0.782870662,-26.934856003,1.874441817,204.686648497,0.063078822053,0.028995209709,0.997587259352,false
13,PY,-1.350893959,-0.430636426,-26.962745368,1.417872428,197.681181616,0.050033109606,0.015949497261,0.998620198814,false
13,NY,-1.350893959,-1.135104898,-26.942283169,1.764476585,220.039060382,0.050033109606,0.042040922156,0.997862339608,false
14,C,1.584752389,-0.348403367,-26.951199880,1.622598237,347.600932650,-0.058694532920,0.012903828411,0.998192588140,false
14,PX,1.936986625,-0.348403367,-26.928176654,1.968070652,349.803310394,-0.071740245367,0.012903828411,0.997339876074,false
14,NX,1.232518153,-0.348403367,-26.969603521,1.280814547,344.215672879,-0.045648820473,0.012903828411,0.998874204493,false
14,PY,1.584752389,0.003830869,-26.953451452,1.584757019,0.138502518,-0.058694532920,-0.000141884036,0.998275979714,false
