panel_id,x_m,y_m,z_m,projected_radius_m,azimuth_deg,normal_x,normal_y,normal_z,projected_area_m2,equivalent_cell_size_m
1,0.312269176,0.000000000,-26.998194161,0.312269176,0.000000000,-0.011565525051,-0.000000000000,0.999933117078,0.612686207723,0.782742746835
2,-0.398817814,0.365349787,-26.994582121,0.540866079,137.507764050,0.014771030147,-0.013531473591,0.999799337813,0.612686207723,0.782742746835
3,0.061045459,-0.695581515,-26.990969597,0.698255106,275.015528100,-0.002260942913,0.025762278349,0.999665540644,0.612686207723,0.782742746835
4,0.502684023,0.655662293,-26.987356590,0.826186583,52.523292150,-0.018617926793,-0.024283788624,0.999531725566,0.612686207723,0.782742746835
5,-0.922487007,-0.163174963,-26.983743099,0.936807529,190.031056200,0.034166185449,0.006043517132,0.999397892570,0.612686207723,0.782742746835
6,0.873860224,-0.555878344,-26.980129125,1.035679692,327.538820250,-0.032365193466,0.020588086817,0.999264041649,0.612686207723,0.782742746835
7,-0.292289143,1.087301043,-26.976514666,1.125902527,105.046584300,0.010825523814,-0.040270408993,0.999130172797,0.612686207723,0.782742746835
8,-0.557427095,-1.073291951,-26.972899722,1.209413320,242.554348350,0.020645447957,0.039751553736,0.998996286006,0.612686207723,0.782742746835
9,1.209393826,0.441668686,-26.969284294,1.287518798,20.062112400,-0.044792363936,-0.016358099469,0.998862381269,0.612686207723,0.782742746835
10,-1.258172753,0.519355423,-26.965668382,1.361149783,157.569876450,0.046598990860,-0.019235386023,0.998728458579,0.612686207723,0.782742746835
11,0.606522406,-1.296103152,-26.962051984,1.430997138,295.077640500,-0.022463792810,0.048003820438,0.998594517928,0.612686207723,0.782742746835
12,0.448204630,1.428946988,-26.958435101,1.497590360,72.585404550,-0.016600171491,-0.052923962531,0.998460559309,0.612686207723,0.782742746835
13,-1.350893959,-0.782870662,-26.954817733,1.561345882,210.093168600,0.050033109606,0.028995209709,0.998326582716,0.612686207723,0.782742746835
14,1.584752389,-0.348403367,-26.951199880,1.622598237,347.600932650,-0.058694532920,0.012903828411,0.998192588140,0.612686207723,0.782742746835
15,-0.967149714,1.375670945,-26.947581541,1.681620979,125.108696701,0.035820359767,-0.050950775734,0.998058575575,0.612686207723,0.782742746835
16,-0.223433979,-1.724224594,-26.943962715,1.738641192,262.616460751,0.008275332551,0.063860170156,0.997924545013,0.612686207723,0.782742746835
17,1.371665483,1.156041121,-26.940343404,1.793849846,40.124224801,-0.050802425297,-0.042816337823,0.997790496447,0.612686207723,0.782742746835
18,-1.845831774,0.076330939,-26.936723606,1.847409361,177.631988851,0.068364139759,-0.002827071811,0.997656429869,0.612686207723,0.782742746835
19,1.346392584,-1.339840451,-26.933103322,1.899459246,315.139752901,-0.049866392018,0.049623720403,0.997522345274,0.612686207723,0.782742746835
20,-0.090078880,1.948038834,-26.929482552,1.950120382,92.647516951,0.003336254821,-0.072149586435,0.997388242652,0.612686207723,0.782742746835
21,-1.281096867,-1.535182203,-26.925861294,1.999498332,230.155281001,0.047448032097,0.056858600128,0.997254121998,0.612686207723,0.782742746835
22,2.029398889,0.273052750,-26.922239549,2.047685927,7.663045051,-0.075162921828,-0.010113064825,0.997119983303,0.612686207723,0.782742746835
23,-1.719505574,1.196387192,-26.918617317,2.094765317,145.170809101,0.063685391648,-0.044310636735,0.996985826561,0.612686207723,0.782742746835
24,0.469867826,-2.088609594,-26.914994598,2.140809616,282.678573151,-0.017402512065,0.077355910896,0.996851651763,0.612686207723,0.782742746835
25,1.086779836,1.896575723,-26.911371390,2.185884235,60.186337201,-0.040251105052,-0.070243545314,0.996717458904,0.612686207723,0.782742746835
26,-2.124550597,-0.677789587,-26.907747695,2.230047974,197.694101251,0.078687059158,0.025103318038,0.996583247975,0.612686207723,0.782742746835
27,2.063730531,-0.953495850,-26.904123512,2.273353919,335.201865301,-0.076434464122,0.035314661109,0.996449018969,0.612686207723,0.782742746835
28,-0.894059632,2.136309784,-26.900498841,2.315850194,112.709629351,0.033113319701,-0.079122584594,0.996314771880,0.612686207723,0.782742746835
29,-0.797928522,-2.218444561,-26.896873681,2.357580581,250.217393401,0.029552908210,0.082164613369,0.996180506699,0.612686207723,0.782742746835
30,2.123202157,1.115895548,-26.893248032,2.398585056,27.725157451,-0.078637116913,-0.041329464754,0.996046223419,0.612686207723,0.782742746835
31,-2.358343372,0.621651744,-26.889621895,2.438900234,165.232921501,0.087346050804,-0.023024138675,0.995911922033,0.612686207723,0.782742746835
32,1.340498649,-2.084783394,-26.885995268,2.478559749,302.740685551,-0.049648098103,0.077214199775,0.995777602534,0.612686207723,0.782742746835
33,0.426420535,2.481219062,-26.882368153,2.517594587,80.248449601,-0.015793353150,-0.091897002279,0.995643264914,0.612686207723,0.782742746835
34,-2.020859217,-1.565066965,-26.878740547,2.556033369,217.756213651,0.074846637670,0.057965443158,0.995508909166,0.612686207723,0.782742746835
35,2.585046164,-0.214165791,-26.875112453,2.593902592,355.263977701,-0.095742450534,0.007932066320,0.995374535283,0.612686207723,0.782742746835
36,-1.786811810,1.931491210,-26.871483868,2.631226850,132.771741751,0.066178215168,-0.071536711464,0.995240143257,0.612686207723,0.782742746835
37,0.013015385,-2.667997266,-26.867854793,2.668029013,270.279505801,-0.000482051296,0.098814713560,0.995105733081,0.612686207723,0.782742746835
38,1.816999479,2.002976730,-26.864225228,2.704330396,47.787269851,-0.067296277014,-0.074184323336,0.994971304748,0.612686207723,0.782742746835
39,-2.728457858,-0.252872861,-26.860595173,2.740150902,185.295033901,0.101053994738,0.009365661519,0.994836858250,0.612686207723,0.782742746835
40,2.210858019,-1.677962414,-26.856964627,2.775509150,322.802797951,-0.081883630345,0.062146756063,0.994702393579,0.612686207723,0.782742746835
41,-0.503019505,2.765040054,-26.853333590,2.810422588,100.310562002,0.018630352029,-0.102408890875,0.994567910730,0.612686207723,0.782742746835
42,-1.515213697,-2.407826125,-26.849702062,2.844907590,237.818326052,0.056119025814,0.089178745383,0.994433409693,0.612686207723,0.782742746835
43,2.776594870,0.760949540,-26.846070042,2.878979554,15.326090102,-0.102836847038,-0.028183316290,0.994298890462,0.612686207723,0.782742746835
44,-2.591347454,1.329836729,-26.842437532,2.912652975,152.833854152,0.095975831617,-0.049253212188,0.994164353030,0.612686207723,0.782742746835
45,1.024058819,-2.762222830,-26.838804529,2.945941518,290.341618202,-0.037928104397,0.102304549271,0.994029797388,0.612686207723,0.782742746835
46,1.123156561,2.759006134,-26.835171035,2.978858088,67.849382252,-0.041598391145,-0.102185412356,0.993895223530,0.612686207723,0.782742746835
47,-2.721282695,-1.289666653,-26.831537049,3.011414881,205.357146302,0.100788247962,0.047765431605,0.993760631448,0.612686207723,0.782742746835
48,2.908525388,-0.896729463,-26.827902571,3.043623442,342.864910352,-0.107723162503,0.033212202329,0.993626021135,0.612686207723,0.782742746835
49,-1.555038881,2.653398164,-26.824267600,3.075494714,120.372674402,0.057594032614,-0.098274006074,0.993491392584,0.612686207723,0.782742746835
50,-0.652330245,-3.037788186,-26.820632136,3.107039075,257.880438452,0.024160379461,0.112510673566,0.993356745786,0.612686207723,0.782742746835
51,2.558462428,1.817411867,-26.816996180,3.138266383,35.388202502,-0.094757867703,-0.067311550642,0.993222080735,0.612686207723,0.782742746835
52,-3.144856912,0.391937460,-26.813359730,3.169186010,172.895966552,0.116476181915,-0.014516202231,0.993087397422,0.612686207723,0.782742746835
53,2.074017173,-2.436640476,-26.809722788,3.199806876,310.403730602,-0.076815450860,0.090245943562,0.992952695842,0.612686207723,0.782742746835
54,0.117716621,3.227991778,-26.806085352,3.230137477,87.911494652,-0.004359874852,-0.119555251039,0.992817975986,0.612686207723,0.782742746835
55,-2.288369098,-2.322106602,-26.802447422,3.260185915,225.419258702,0.084754411045,0.086003948209,0.992683237846,0.612686207723,0.782742746835
56,3.285667788,0.167998403,-26.798808998,3.289959920,2.927022752,-0.121691399553,-0.006222163071,0.992548481416,0.612686207723,0.782742746835
57,-2.558977378,2.114354543,-26.795170081,3.319466878,140.434786802,0.094776939929,-0.078309427502,0.992413706688,0.612686207723,0.782742746835
58,0.462725656,-3.316590026,-26.791530669,3.348713847,277.942550852,-0.017137987248,0.122836667614,0.992278913654,0.612686207723,0.782742746835
59,1.915567821,2.781997202,-26.787890762,3.377707582,55.450314902,-0.070946956339,-0.103036933393,0.992144102307,0.612686207723,0.782742746835
60,-3.319707110,-0.763856849,-26.784250361,3.406454548,192.958078952,0.122952115200,0.028290994399,0.992009272640,0.612686207723,0.782742746835
61,2.988628924,-1.693237673,-26.780609465,3.434960940,330.465843002,-0.110689960137,0.062712506413,0.991874424645,0.612686207723,0.782742746835
62,-1.068680410,3.294222658,-26.776968074,3.463232701,107.973607052,0.039580755927,-0.122008246588,0.991739558314,0.612686207723,0.782742746835
63,-1.448841225,-3.176454615,-26.773326188,3.491275528,245.481371102,0.053660786109,0.117646467218,0.991604673640,0.612686207723,0.782742746835
64,3.239604615,1.374405627,-26.769683807,3.519094897,22.989135152,-0.119985356126,-0.050903912122,0.991469770616,0.612686207723,0.782742746835
65,-3.343198789,1.184092406,-26.766040929,3.546696064,160.496899202,0.123822177369,-0.043855274314,0.991334849234,0.612686207723,0.782742746835
66,1.678187677,-3.155592364,-26.762397556,3.574084085,298.004663252,-0.062155099160,0.116873791251,0.991199909487,0.612686207723,0.782742746835
67,0.900928205,3.486750564,-26.758753687,3.601263823,75.512427302,-0.033367711292,-0.129138909765,0.991064951367,0.612686207723,0.782742746835
68,-3.042201496,-1.977153322,-26.755109321,3.628239959,213.020191353,0.112674129488,0.073227900802,0.990929974866,0.612686207723,0.782742746835
69,3.605184547,-0.601492858,-26.751464459,3.655017001,350.527955403,-0.133525353602,0.022277513248,0.990794979978,0.612686207723,0.782742746835
