case_key,case_label,time_code,selected_local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,convection_h_W_m2_K,visible_points,q_abs_max_W_m2,q_abs_mean_all_W_m2,q_abs_mean_visible_W_m2,surface_temperature_min_C,surface_temperature_mean_C,surface_temperature_max_C,surface_temperature_mean_visible_C,deltaT_air_min_C,deltaT_air_mean_C,deltaT_air_max_C,deltaT_air_mean_visible_C,deltaT_aperture_mean_min_C,deltaT_aperture_mean_max_C,max_abs_thermal_balance_residual_W_m2,case_order,time_order,scenario_id,scenario_label
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,0.0,18.0,5.0,5.0,42655,237.8088524421911,67.49548848360463,111.8300001782157,14.931833834213649,24.82516981822564,49.194550099595176,31.323622229432956,-3.0681661657863515,6.825169818225638,31.194550099595176,13.323622229432951,-9.893335984011989,24.36938028136954,4.547473508864641e-13,0,0,spring_equinox__morning,spring equinox / morning
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,42655,237.8088524421911,67.49548848360463,111.8300001782157,16.343400888813903,21.78041968994804,35.40164644322954,25.35173355163309,-1.6565991111860967,3.780419689948036,17.401646443229538,7.351733551633093,-5.437018801134133,13.6212267532815,7.673861546209082e-13,0,0,spring_equinox__morning,spring equinox / morning
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,42655,237.8088524421911,67.49548848360463,111.8300001782157,16.692541334043312,20.995725724457213,31.805661893131173,23.822278772180027,-1.3074586659566876,2.995725724457212,13.805661893131171,5.822278772180027,-4.3031843904139,10.80993616867396,9.379164112033322e-13,0,0,spring_equinox__morning,spring equinox / morning
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,42655,237.8088524421911,67.49548848360463,111.8300001782157,16.943416557346836,20.42651612462929,29.18996834213692,22.714395240234037,-1.0565834426531635,2.426516124629297,11.189968342136922,4.714395240234032,-3.4830995672824585,8.763452217507627,1.1368683772161605e-12,0,0,spring_equinox__morning,spring equinox / morning
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,0.0,18.0,5.0,5.0,61447,237.1977021935532,128.87734005299205,148.2277125582226,14.931833834213649,33.733591373365634,49.11057966951262,36.55659355502164,-3.0681661657863515,15.73359137336564,31.110579669512617,18.55659355502164,-18.801757539151986,15.376988296146983,4.547473508864641e-13,0,1,spring_equinox__axis,spring equinox / axis
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,61447,237.1977021935532,128.87734005299205,148.2277125582226,16.343400888813903,26.71043042026909,35.35335409219522,28.26699484908101,-1.6565991111860967,8.710430420269093,17.353354092195218,10.266994849081003,-10.367029531455188,8.642923671926127,7.673861546209082e-13,0,1,spring_equinox__axis,spring equinox / axis
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,61447,237.1977021935532,128.87734005299205,148.2277125582226,16.692541334043312,24.90197070665972,31.76716100326473,26.134580848599263,-1.3074586659566876,6.9019707066597205,13.767161003264732,8.134580848599262,-8.209429372616409,6.865190296605011,9.379164112033322e-13,0,1,spring_equinox__axis,spring equinox / axis
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,61447,237.1977021935532,128.87734005299205,148.2277125582226,16.943416557346836,23.590340446607303,29.15867439891849,24.588347180903806,-1.0565834426531635,5.590340446607304,11.158674398918492,6.588347180903805,-6.646923889260467,5.568333952311189,1.1368683772161605e-12,0,1,spring_equinox__axis,spring equinox / axis
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,0.0,18.0,5.0,5.0,42666,237.81145675266828,67.51494650799361,111.83339930060076,14.931833834213649,24.828007236510047,49.19490788102053,31.324096124104745,-3.0681661657863515,6.82800723651005,31.194907881020526,13.324096124104743,-9.896173402296398,24.36690064451048,4.547473508864641e-13,0,2,spring_equinox__evening,spring equinox / evening
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,42666,237.81145675266828,67.51494650799361,111.83339930060076,16.343400888813903,21.78198470424863,35.40185222502089,25.35200338232673,-1.6565991111860967,3.781984704248628,17.40185222502089,7.352003382326731,-5.4385838154347255,13.61986752077226,7.673861546209082e-13,0,2,spring_equinox__evening,spring equinox / evening
