case_key,case_label,time_code,selected_local_time,direct_normal_irradiance_input_W_m2,effective_direct_normal_irradiance_W_m2,absorptivity,visible_points,q_abs_visible_min_W_m2,q_abs_visible_mean_W_m2,q_abs_visible_max_W_m2,q_abs_visible_std_W_m2,q_abs_all_points_mean_W_m2,q_abs_all_points_max_W_m2,q_abs_grid_sum_relative_W_m2_points
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,850.0,680.0,0.35,61447,0.01447812212114674,148.2277125582226,237.19770219355317,61.838018691418036,128.87734005299203,237.19770219355317,9108148.253565105
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,850.0,680.0,0.35,42666,0.00011246958501559545,111.83339930060077,237.81145675266828,65.28317669559006,67.51494650799361,237.81145675266828,4771483.814559433
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,850.0,680.0,0.35,42655,0.015104561521840252,111.8300001782157,237.8088524421911,65.27857848226526,67.49548848360463,237.8088524421911,4770108.6576017905
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,850.0,680.0,0.35,67082,0.3901574750757935,156.90270856229273,237.05330025680263,55.773685174867936,148.93024911600926,237.05330025680263,10525347.495775722
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,850.0,680.0,0.35,41683,0.0071116322899848474,110.55585281324313,237.80665907993074,65.33573660792175,65.20594304493108,237.80665907993074,4608299.612814414
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,850.0,680.0,0.35,41749,0.006714237015863933,110.66085976930128,237.8011684366671,65.34650356989386,65.37122004879599,237.8011684366671,4619980.234508559
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,850.0,680.0,0.35,53411,0.015879978906284283,132.20306936810468,237.42999777423765,66.81601873885674,99.91224566694264,237.42999777423765,7061098.138019837
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,850.0,680.0,0.35,45143,0.004581283811221719,115.67648565833657,237.64375573299333,65.94173516245058,73.88937206676226,237.64375573299333,5221983.592074289
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,850.0,680.0,0.35,45095,2.0796753951723974e-06,115.59844440914617,237.7649678703386,65.94176019706308,73.76100987124427,237.7649678703386,5212911.850630446
