case_key,case_label,time_code,selected_local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,convection_h_W_m2_K,visible_points,q_abs_max_W_m2,q_abs_mean_all_W_m2,q_abs_mean_visible_W_m2,surface_temperature_min_C,surface_temperature_mean_C,surface_temperature_max_C,surface_temperature_mean_visible_C,deltaT_air_min_C,deltaT_air_mean_C,deltaT_air_max_C,deltaT_air_mean_visible_C,deltaT_aperture_mean_min_C,deltaT_aperture_mean_max_C,max_abs_thermal_balance_residual_W_m2
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,0.0,18.0,5.0,5.0,64058,237.17897839795148,134.46756894340587,148.35346873048366,14.931833834213649,34.550703272411994,49.108006745099715,36.57666133125995,-3.0681661657863515,16.550703272411997,31.108006745099715,18.57666133125995,-19.618869438198345,14.557303472687721,4.547473508864641e-13
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,64058,237.17897839795148,134.46756894340587,148.35346873048366,16.343400888813903,27.160373407410912,35.35187450405442,28.277396624035205,-1.6565991111860967,9.160373407410912,17.351874504054422,10.277396624035209,-10.816972518597009,8.19150109664351,7.673861546209082e-13
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,64058,237.17897839795148,134.46756894340587,148.35346873048366,16.692541334043312,25.25819361824904,31.765981424435495,26.14273247147613,-1.3074586659566876,7.258193618249041,13.765981424435495,8.142732471476132,-8.56565228420573,6.507787806186453,9.379164112033322e-13
spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,64058,237.17897839795148,134.46756894340587,148.35346873048366,16.943416557346836,23.878727216134948,29.15771563235512,24.594907552827998,-1.0565834426531637,5.8787272161349495,11.15771563235512,6.594907552827999,-6.9353106587881115,5.278988416220173,1.1368683772161603e-12
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,0.0,18.0,5.0,5.0,42952,237.81145675266828,68.30376102720841,112.38665727034596,14.931833834213649,24.94243041985177,49.19490788102053,31.40321799552867,-3.0681661657863515,6.942430419851769,31.194907881020526,13.403217995528673,-10.010596585638122,24.252477461168755,4.547473508864641e-13
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,42952,237.81145675266828,68.30376102720841,112.38665727034596,16.343400888813903,21.8453297640619,35.40185222502089,25.396246376809845,-1.6565991111860967,3.845329764061902,17.40185222502089,7.39624637680985,-5.501928875247998,13.556522460958988,7.673861546209082e-13
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,42952,237.81145675266828,68.30376102720841,112.38665727034596,16.692541334043312,21.047158956412265,31.805825954183433,23.857606784445643,-1.3074586659566876,3.047158956412264,13.805825954183433,5.857606784445642,-4.354617622368952,10.758666997771169,9.379164112033322e-13
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,42952,237.81145675266828,68.30376102720841,112.38665727034596,16.943416557346836,20.4681750806842,29.190101693830456,22.743036112194613,-1.0565834426531637,2.4681750806842015,11.190101693830456,4.743036112194611,-3.524758523337365,8.721926613146255,1.1368683772161603e-12
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,0.0,18.0,5.0,5.0,42938,237.8088524421911,68.27663365315402,112.37865131513703,14.931833834213649,24.938475169662293,49.194550099595176,31.40207844505165,-3.0681661657863515,6.9384751696622935,31.194550099595176,13.402078445051648,-10.006641335448645,24.256074929932883,4.547473508864641e-13
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,42938,237.8088524421911,68.27663365315402,112.37865131513703,16.343400888813903,21.84314797560805,35.40164644322954,25.39560699680689,-1.6565991111860967,3.84314797560805,17.401646443229538,7.395606996806888,-5.499747086794148,13.558498467621487,7.673861546209082e-13
